"","ID","utm_n","place","utm_e"
"182",152,5418069.33006099,"Surburg",415671.360926071
"183",153,5417177.67021208,"Schwabweiler",417675.090191159
"184",154,5416768.91532883,"Oberbetschdorf",419242.905968439
"185",155,5416775.28863453,"Betschdorf",420578.597703617
"186",156,5416737.98945267,"Niederbetschdorf",420621.315498531
"187",157,5417132.70265829,"Rittershofen",423481.171630013
"188",158,5417035.30157481,"Hatten",425085.068544022
"189",159,5415211.47209426,"Walburg-Hinterfeld (Hinterfeld)",408775.521536034
"190",185,5409401.16591601,"Dauendorf",401296.224252921
"191",186,5408324.32489014,"Morschweiler",399206.565367194
"192",192,5406358.39699148,"Hüttendorf",400324.310832689
"193",205,5404202.55160374,"Wittersheim",401570.313081085
"194",206,5408346.42946934,"Uhlweiler",402663.118508609
"195",207,5407357.07121224,"Ohlungen",404583.154136243
"196",208,5408385.56347303,"Schweighausen (Schweighouse-Sur-Moder)",407158.011026326
"197",209,5408385.56347303,"Schweighausen (Schweighouse-Sur-Moder)",407158.011026326
"198",210,5407525.77925132,"Hagenau",411073.047004995
"199",211,5411483.04376612,"Walk (La Walck)",397999.11993752
"200",212,5400634.92370456,"Gries",412812.481691172
"201",213,5400776.88553751,"Weitbruch",410023.183632751
"202",214,5402889.32235666,"Niederschäffolsheim",407304.09283002
"203",215,5401246.06508841,"Kriegsheim",406429.246838622
"204",216,5401226.99655719,"Rottelsheim",405512.182351381
"205",217,5401083.06603673,"Bernolsheim",403778.385664636
"206",218,5401922.75593594,"Wahlenheim",403378.962439054
"207",219,5403679.59352843,"Hochstett",402863.288831477
"208",220,5404174.85641858,"Batzendorf",404972.643251352
"209",221,5405311.02488948,"Wintershausen",404722.334360684
"210",222,5409056.86140217,"Sufflenheim",423617.684777081
"211",223,5406519.93486986,"Schirrhofen",420649.899160642
"212",224,5405971.81956621,"Schirrhein",419637.379909067
"213",225,5404811.33443335,"Kaltenhausen",414448.190712139
"214",226,5403954.28440858,"Oberhofen (Oberhoffen-Sur-Moder)",416496.785370333
"215",227,5402322.59654519,"Bischweiler",416167.426527336
"216",228,5400900.97744454,"Rohrwiller",419550.551550728
"217",229,5407525.77925132,"Hagenau",411073.047004995
"218",230,5402789.80388343,"Falhünden (Dalhünden)",425671.177517214
"219",1000,5415092.20225998,"Rheinau (Rhinau)",406180.509683849
"220",1106,5395970.45290483,"Bilwisheim",401290.887315938
"221",1107,5395013.58407221,"Mittelschäffolsheim",400759.579950031
"222",1121,5399136.44415883,"Krautweiler",403437.522935328
"223",1122,5398272.91285186,"Brumath",405171.800978469
"224",1123,5397391.24427727,"Geudertheim",407835.425898141
"225",1124,5396939.59264293,"Bietlenheim",410457.408206544
"226",1125,5399258.76585142,"Kurzenhausen",412436.606669897
"227",1127,5394089.32057758,"Hördt",410425.884603391
"228",1128,5394599.31911314,"Olwisheim",402508.484752196
"229",1131,5397991.9533515,"Herlisheim (Herrlisheim)",419588.203527234
"230",1132,5395973.50560477,"Offendorf",420091.949239669
"231",1139,5393777.71276123,"Gambsheim",417555.105482264
"232",1140,5391927.3354283,"Kilstett",415927.908519606
"233",1235,5429218.64348191,"Breuschwickersheim",421780.800997444
"234",1236,5422881.9932512,"Achenheim",411000.589384318
"235",860,5372587.16787625,"Rosheim",386899.10508169
"236",861,5372587.16787625,"Rosheim",386899.10508169
"237",862,5372587.16787625,"Rosheim",386899.10508169
"238",863,5371487.31295333,"Bischofsheim (Bischoffsheim)",388924.604182398
"239",864,5370357.59648267,"Börsch (Boersch)",384702.275440994
"240",865,5370357.59648267,"Börsch (Boersch)",384702.275440994
"241",868,5368677.51695894,"Ottrott",384153.28417607
"242",869,5368677.51695894,"Ottrott",384153.28417607
"243",870,5367050.23036378,"St. Nabor (Sain-Nabor)",383472.656617811
"244",874,5370015.64688292,"Klingenthal",383051.626497305
"245",875,5373179.19797177,"Griesheim (Griesheim-Près-Molsheim)",391582.555500486
"246",1090,5393115.19748056,"Knörsheim",386682.467205485
"247",1096,5392066.96386122,"Zehnacker",385949.857196198
"248",1141,5388237.26030277,"Engenthal",374865.874003339
