"","ID","place","DWA_grid","utm_e","utm_n"
"157",1096,"Zehnacker"," 11m'",385949.857196198,5392066.96386122
"158",1098,"Waldolwisheim"," 11m'",385016.991145565,5398903.71297667
"159",1118,"Wilwisheim"," 11m'",390279.347236517,5400516.21698001
"160",1145,"Salental"," 11m'",380019.552284366,5391763.5087057
"161",1146,"Maursmünster (Marmoutier)"," 11m'",380858.320317309,5394322.23764353
"162",1147,"Singrist"," 11m'",381288.784716232,5392082.37986078
"163",1148,"Jettersweiler"," 11m'",383294.564309107,5392022.54730075
"164",36,"Wingen (Wingen-Sur-Moder)"," 11i'",381410.245452563,5419550.90305374
"165",37,"Reipertsweiler (Reipertswiller)"," 11i'",387482.588743578,5421049.55763671
"166",107,"Lichtenberg"," 11i'",388783.328143805,5419851.32986727
"167",1252,"Kehl"," 13o'",412586.013969595,5380800.13798952
"168",1253,"Marlen"," 13o'",413098.708248072,5374997.50731698
"169",1254,"Goldscheuer"," 13o'",412788.663775033,5374002.78375174
"170",1255,"Illkirch-Grafenstaden"," 13o'",404895.390645058,5375878.00004874
"171",1256,"Illkirch-Grafenstaden"," 13o'",404895.390645058,5375878.00004874
"172",1258,"Eckbolsheim"," 13o'",403177.164365225,5381524.31861227
"173",1183,"Wanzenau"," 13n'",413528.071248848,5390243.78641555
"174",1184,"Reichstett"," 13n'",408195.184446348,5389109.80187344
"175",1185,"Mundolsheim"," 13n'",405373.109861535,5388432.77916454
"176",1186,"Lamgertheim"," 13n'",404315.673972623,5389381.31155496
"177",1189,"Suffelweyersheim"," 13n'",407279.037627669,5387701.6693606
"178",1190,"Niederhausbergen"," 13n'",404224.742584596,5386377.47929546
"179",1191,"Mittelhausbergen"," 13n'",403648.90730003,5385378.84722153
"180",1192,"Straßburg"," 13n'",406790.189549552,5382120.49023166
"181",1193,"Kronenburg (Cronenbourg)"," 13n'",406516.091190362,5383250.21989074
"182",1194,"Schiltigheim"," 13n'",407747.535896432,5384408.46303294
"183",1195,"Straßburg-Bischheim"," 13n'",408057.049268124,5385390.71393944
"184",1196,"Hönheim"," 13n'",408268.792213809,5386078.82367802
"185",1197,"Straßburg-Oberhausbergen"," 13n'",403066.842556645,5384458.20760327
"186",1198,"Straßburg-Ruprechtsau"," 13n'",411590.103424764,5384801.53805679
"187",1208,"Auenheim"," 13n'",414189.58859086,5384212.07535032
"188",207,"Ohlungen"," 13l'",404583.154136243,5407357.07121224
"189",208,"Schweighausen (Schweighouse-Sur-Moder)"," 13l'",407158.011026326,5408385.56347303
"190",209,"Schweighausen (Schweighouse-Sur-Moder)"," 13l'",407158.011026326,5408385.56347303
"191",210,"Hagenau"," 13l'",411073.047004995,5407525.77925132
"192",212,"Gries"," 13l'",412812.481691172,5400634.92370456
"193",213,"Weitbruch"," 13l'",410023.183632751,5400776.88553751
"194",214,"Niederschäffolsheim"," 13l'",407304.09283002,5402889.32235666
"195",215,"Kriegsheim"," 13l'",406429.246838622,5401246.06508841
"196",216,"Rottelsheim"," 13l'",405512.182351381,5401226.99655719
